region,n_cells,cwri,cwri7,baie,overlap30,pct_hot,pct_alert,pct_chronic,pct_wasp_active,csi_V_velutina,csi_V_mandarinia,csi_V_crabro,csi_V_simillima,csi_V_analis,date
강원 강릉시,1038,47.27,28.12,71.88,5.7,2.9,0.0,0.0,72.5,55.03,45.45,66.29,10.56,26.5,2026-09-24
강원 고성군,591,37.65,21.18,76.94,1.3,0.0,0.0,0.0,51.8,37.15,41.87,56.36,12.58,17.43,2026-09-24
강원 동해시,182,49.04,29.86,71.98,7.46,0.0,0.0,0.0,85.7,53.1,52.03,71.31,10.7,23.8,2026-09-24
강원 삼척시,1186,43.96,25.56,69.7,7.13,0.0,0.0,0.0,69.9,54.08,39.9,62.28,7.53,21.21,2026-09-24
강원 속초시,105,51.7,29.54,75.49,5.09,0.0,0.0,0.0,78.1,61.48,49.44,67.15,14.79,32.74,2026-09-24
강원 양구군,644,28.4,19.27,62.8,5.55,0.0,0.0,0.0,18.6,38.2,19.55,45.79,1.99,9.32,2026-09-24
강원 양양군,631,42.6,29.19,74.47,5.66,0.0,0.0,0.0,68.5,46.0,44.51,63.04,10.79,18.41,2026-09-24
강원 영월군,1134,31.82,23.09,64.67,7.2,0.0,0.0,0.0,29.5,41.82,24.02,50.92,1.9,9.59,2026-09-24
강원 원주시,870,38.5,30.84,67.0,10.73,5.3,0.0,60.6,52.1,50.47,30.55,56.3,4.25,17.85,2026-09-24
강원 인제군,1619,30.21,19.59,66.67,3.46,0.0,0.0,0.1,22.3,41.82,20.73,46.59,2.38,9.86,2026-09-24
강원 정선군,1228,26.98,18.21,63.82,4.31,0.0,0.0,0.0,9.0,34.94,19.69,45.92,1.2,6.19,2026-09-24
강원 철원군,830,37.9,23.11,68.18,4.51,0.0,0.0,0.2,58.6,50.04,29.1,53.0,6.15,22.17,2026-09-24
강원 춘천시,1113,32.84,27.13,63.58,9.52,0.0,0.0,8.1,24.3,43.52,24.27,51.28,2.48,12.38,2026-09-24
강원 태백시,304,26.58,13.68,65.46,2.62,0.0,0.0,0.0,3.6,36.5,17.59,44.11,1.13,5.62,2026-09-24
강원 평창군,1465,22.95,14.12,63.57,3.81,0.0,0.0,0.1,3.1,30.8,14.69,40.25,0.76,4.5,2026-09-24
강원 홍천군,1816,32.17,21.96,64.79,7.7,0.0,0.0,5.6,29.3,42.72,23.93,50.72,2.09,10.47,2026-09-24
강원 화천군,912,20.82,19.68,58.4,5.87,0.0,0.0,0.0,3.4,28.02,12.71,36.19,1.2,5.67,2026-09-24
강원 횡성군,998,30.01,23.04,63.32,7.37,0.0,0.0,0.3,17.8,38.6,22.36,49.65,1.61,9.77,2026-09-24
경기 가평군,842,34.6,27.53,64.27,8.88,0.0,0.0,11.3,44.5,45.27,26.26,52.68,3.21,15.85,2026-09-24
경기 고양시 덕양구,163,63.07,52.03,74.75,21.19,91.4,45.4,100.0,100.0,83.13,53.82,70.84,18.96,50.96,2026-09-24
경기 고양시 일산동구,59,57.71,54.74,73.57,22.37,100.0,52.5,100.0,100.0,76.2,47.7,65.71,16.64,49.71,2026-09-24
경기 고양시 일산서구,42,57.6,56.11,73.3,22.21,100.0,85.7,100.0,100.0,75.43,47.96,66.14,16.29,50.32,2026-09-24
경기 과천시,35,67.36,61.37,75.45,21.31,100.0,88.6,100.0,100.0,86.32,59.95,74.17,22.33,58.06,2026-09-24
경기 광명시,38,70.69,53.91,79.26,18.03,97.4,63.2,100.0,100.0,85.27,65.51,75.32,31.57,70.22,2026-09-24
경기 광주시,426,57.82,51.46,69.39,18.55,95.3,31.2,100.0,98.8,72.97,52.72,73.89,10.97,37.59,2026-09-24
경기 구리시,35,72.45,49.54,77.71,18.14,100.0,0.0,100.0,100.0,88.97,67.47,79.76,27.03,65.58,2026-09-24
경기 군포시,34,70.76,59.84,79.37,21.12,100.0,88.2,100.0,100.0,88.26,63.34,74.31,30.54,68.91,2026-09-24
경기 김포시,276,58.67,57.02,73.2,20.22,100.0,89.1,74.6,100.0,76.19,49.48,67.45,16.63,51.9,2026-09-24
경기 남양주시,459,61.47,47.81,71.76,17.65,77.6,13.9,67.5,98.9,79.52,54.28,73.42,14.96,44.86,2026-09-24
경기 동두천시,96,61.5,40.71,73.32,15.89,8.3,0.0,100.0,100.0,81.8,52.35,71.22,16.18,44.92,2026-09-24
경기 부천시,55,76.15,54.66,79.09,20.09,100.0,65.5,100.0,100.0,89.26,73.7,81.31,34.36,76.28,2026-09-24
경기 성남시 분당구,70,73.9,65.96,77.38,21.67,100.0,100.0,100.0,100.0,90.49,69.07,81.49,27.12,67.57,2026-09-24
경기 성남시 수정구,46,72.69,64.81,78.51,21.65,100.0,97.8,100.0,100.0,89.84,66.39,77.93,29.36,69.29,2026-09-24
경기 성남시 중원구,26,72.38,63.67,76.8,21.12,100.0,96.2,100.0,100.0,91.33,65.78,78.72,25.63,64.32,2026-09-24
경기 수원시 권선구,48,74.9,56.51,77.95,18.29,100.0,68.8,100.0,100.0,90.72,70.73,79.0,32.07,72.65,2026-09-24
경기 수원시 영통구,32,78.0,63.26,77.09,21.91,100.0,100.0,100.0,100.0,94.43,74.3,82.08,32.37,75.9,2026-09-24
경기 수원시 장안구,34,70.37,63.13,76.74,21.74,100.0,97.1,100.0,100.0,89.35,62.89,74.73,26.9,65.05,2026-09-24
경기 수원시 팔달구,10,74.9,57.93,78.75,18.3,100.0,100.0,100.0,100.0,91.23,69.17,75.77,35.63,78.11,2026-09-24
경기 시흥시,141,69.13,59.85,74.38,21.0,99.3,99.3,87.9,100.0,86.48,63.86,77.77,21.64,59.25,2026-09-24
경기 안산시 단원구,90,61.33,55.69,74.62,20.5,90.0,54.4,54.4,98.9,77.09,54.34,69.25,20.28,55.94,2026-09-24
경기 안산시 상록구,60,69.59,60.33,75.24,22.62,100.0,85.0,98.3,100.0,87.7,62.88,75.88,24.47,63.24,2026-09-24
경기 안성시,554,64.99,53.29,72.58,20.94,99.8,48.4,99.3,100.0,83.65,57.77,73.8,19.21,52.57,2026-09-24
경기 안양시 동안구,23,65.38,59.35,79.8,20.61,100.0,87.0,100.0,100.0,82.07,57.23,67.14,30.87,65.16,2026-09-24
경기 안양시 만안구,38,66.59,57.23,76.82,20.66,100.0,81.6,100.0,100.0,85.88,58.31,73.18,23.2,56.63,2026-09-24
경기 양주시,312,58.74,40.75,71.84,16.48,22.4,0.0,98.4,99.4,77.44,50.15,70.27,13.71,42.47,2026-09-24
경기 양평군,881,41.6,37.61,65.57,12.9,32.5,9.9,30.8,50.5,53.02,34.76,60.32,5.01,21.05,2026-09-24
경기 여주시,605,49.24,41.38,66.82,14.52,38.5,0.0,99.7,95.2,61.45,43.48,67.77,7.17,30.61,2026-09-24
경기 연천군,659,49.16,34.52,71.84,12.07,0.0,0.0,63.7,97.6,66.78,38.16,59.59,11.47,36.89,2026-09-24
경기 오산시,42,74.76,62.74,74.35,22.45,100.0,100.0,100.0,100.0,91.85,70.62,81.36,26.27,69.22,2026-09-24
경기 용인시 기흥구,82,76.34,61.75,75.25,21.6,100.0,100.0,100.0,100.0,92.87,73.68,84.27,26.41,67.35,2026-09-24
경기 용인시 수지구,41,71.88,63.15,75.93,21.34,100.0,97.6,100.0,100.0,90.7,65.75,78.7,24.62,62.59,2026-09-24
경기 용인시 처인구,467,63.87,53.33,71.23,20.08,93.8,51.2,91.6,97.2,81.5,57.75,74.83,17.15,48.57,2026-09-24
