code,region,md,cwri7_mean,cwri7_p10,cwri7_p25,cwri7_p75,cwri7_p90,cwri_mean,baie_mean,n_years
1,강원 강릉시,01-01,,,,,,0.0,1.95,30
1,강원 강릉시,01-02,,,,,,0.0,5.0,30
1,강원 강릉시,01-03,,,,,,0.0,5.3,30
1,강원 강릉시,01-04,,,,,,0.0,1.83,30
1,강원 강릉시,01-05,0.0,0.0,0.0,0.0,0.0,0.0,2.01,30
1,강원 강릉시,01-06,0.0,0.0,0.0,0.0,0.0,0.0,2.36,30
1,강원 강릉시,01-07,0.0,0.0,0.0,0.0,0.0,0.0,2.74,30
1,강원 강릉시,01-08,0.0,0.0,0.0,0.0,0.0,0.0,3.35,30
1,강원 강릉시,01-09,0.0,0.0,0.0,0.0,0.0,0.0,2.31,30
1,강원 강릉시,01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.81,30
1,강원 강릉시,01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.44,30
1,강원 강릉시,01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.71,30
1,강원 강릉시,01-13,0.0,0.0,0.0,0.0,0.0,0.0,1.38,30
1,강원 강릉시,01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.7,30
1,강원 강릉시,01-15,0.0,0.0,0.0,0.0,0.0,0.0,1.28,30
1,강원 강릉시,01-16,0.0,0.0,0.0,0.0,0.0,0.0,1.53,30
1,강원 강릉시,01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.75,30
1,강원 강릉시,01-18,0.0,0.0,0.0,0.0,0.0,0.0,1.22,30
1,강원 강릉시,01-19,0.0,0.0,0.0,0.0,0.0,0.0,1.81,30
1,강원 강릉시,01-20,0.0,0.0,0.0,0.0,0.0,0.0,1.92,30
1,강원 강릉시,01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.49,30
1,강원 강릉시,01-22,0.0,0.0,0.0,0.0,0.0,0.0,2.01,30
1,강원 강릉시,01-23,0.0,0.0,0.0,0.0,0.0,0.0,1.98,30
1,강원 강릉시,01-24,0.0,0.0,0.0,0.0,0.0,0.0,1.21,30
1,강원 강릉시,01-25,0.0,0.0,0.0,0.0,0.0,0.0,2.01,30
1,강원 강릉시,01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.97,30
1,강원 강릉시,01-27,0.0,0.0,0.0,0.0,0.0,0.0,2.32,30
1,강원 강릉시,01-28,0.0,0.0,0.0,0.0,0.0,0.0,1.62,30
1,강원 강릉시,01-29,0.0,0.0,0.0,0.0,0.0,0.0,1.95,30
1,강원 강릉시,01-30,0.0,0.0,0.0,0.0,0.0,0.0,2.98,30
1,강원 강릉시,01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.88,30
1,강원 강릉시,02-01,0.0,0.0,0.0,0.0,0.0,0.0,1.01,30
1,강원 강릉시,02-02,0.0,0.0,0.0,0.0,0.0,0.0,3.32,30
1,강원 강릉시,02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.99,30
1,강원 강릉시,02-04,0.0,0.0,0.0,0.0,0.0,0.0,2.46,30
1,강원 강릉시,02-05,0.0,0.0,0.0,0.0,0.0,0.0,4.49,30
1,강원 강릉시,02-06,0.0,0.0,0.0,0.0,0.0,0.0,5.38,30
