code,name
1,강원 강릉시
2,강원 고성군
3,강원 동해시
4,강원 삼척시
5,강원 속초시
6,강원 양구군
7,강원 양양군
8,강원 영월군
9,강원 원주시
10,강원 인제군
11,강원 정선군
12,강원 철원군
13,강원 춘천시
14,강원 태백시
15,강원 평창군
16,강원 홍천군
17,강원 화천군
18,강원 횡성군
19,경기 가평군
20,경기 고양시 덕양구
21,경기 고양시 일산동구
22,경기 고양시 일산서구
23,경기 과천시
24,경기 광명시
25,경기 광주시
26,경기 구리시
27,경기 군포시
28,경기 김포시
29,경기 남양주시
30,경기 동두천시
31,경기 부천시
32,경기 성남시 분당구
33,경기 성남시 수정구
34,경기 성남시 중원구
35,경기 수원시 권선구
36,경기 수원시 영통구
37,경기 수원시 장안구
38,경기 수원시 팔달구
39,경기 시흥시
40,경기 안산시 단원구
41,경기 안산시 상록구
42,경기 안성시
43,경기 안양시 동안구
44,경기 안양시 만안구
45,경기 양주시
46,경기 양평군
47,경기 여주시
48,경기 연천군
49,경기 오산시
50,경기 용인시 기흥구
51,경기 용인시 수지구
52,경기 용인시 처인구
53,경기 의왕시
54,경기 의정부시
55,경기 이천시
56,경기 파주시
57,경기 평택시
58,경기 포천시
59,경기 하남시
60,경기 화성시
61,경남 거제시
62,경남 거창군
63,경남 고성군
64,경남 김해시
65,경남 남해군
66,경남 밀양시
67,경남 사천시
68,경남 산청군
69,경남 양산시
70,경남 의령군
71,경남 진주시
72,경남 창녕군
73,경남 창원시 마산합포구
74,경남 창원시 마산회원구
75,경남 창원시 성산구
76,경남 창원시 의창구
77,경남 창원시 진해구
78,경남 통영시
79,경남 하동군
80,경남 함안군
81,경남 함양군
82,경남 합천군
83,경북 경산시
84,경북 경주시
85,경북 고령군
86,경북 구미시
87,경북 김천시
88,경북 문경시
89,경북 봉화군
90,경북 상주시
91,경북 성주군
92,경북 안동시
93,경북 영덕군
94,경북 영양군
95,경북 영주시
96,경북 영천시
97,경북 예천군
98,경북 울릉군
99,경북 울진군
100,경북 의성군
101,경북 청도군
102,경북 청송군
103,경북 칠곡군
104,경북 포항시 남구
105,경북 포항시 북구
106,광주 광산구
107,광주 남구
108,광주 동구
109,광주 북구
110,광주 서구
111,대구 군위군
112,대구 남구
113,대구 달서구
114,대구 달성군
115,대구 동구
116,대구 북구
117,대구 서구
118,대구 수성구
119,대구 중구
120,대전 대덕구
121,대전 동구
122,대전 서구
123,대전 유성구
124,대전 중구
125,부산 강서구
126,부산 금정구
127,부산 기장군
128,부산 남구
129,부산 동구
130,부산 동래구
131,부산 부산진구
132,부산 북구
133,부산 사상구
134,부산 사하구
135,부산 서구
136,부산 수영구
137,부산 연제구
138,부산 영도구
139,부산 중구
140,부산 해운대구
141,서울 강남구
142,서울 강동구
143,서울 강북구
144,서울 강서구
145,서울 관악구
146,서울 광진구
147,서울 구로구
148,서울 금천구
149,서울 노원구
150,서울 도봉구
151,서울 동대문구
152,서울 동작구
153,서울 마포구
154,서울 서대문구
155,서울 서초구
156,서울 성동구
157,서울 성북구
158,서울 송파구
159,서울 양천구
160,서울 영등포구
161,서울 용산구
162,서울 은평구
163,서울 종로구
164,서울 중구
165,서울 중랑구
166,세종 세종특별자치시
167,울산 남구
168,울산 동구
169,울산 북구
170,울산 울주군
171,울산 중구
172,인천 강화군
173,인천 계양구
174,인천 남동구
175,인천 동구
176,인천 미추홀구
177,인천 부평구
178,인천 서구
179,인천 연수구
180,인천 옹진군
181,인천 중구
182,전남 강진군
183,전남 고흥군
184,전남 곡성군
185,전남 광양시
186,전남 구례군
187,전남 나주시
188,전남 담양군
189,전남 목포시
190,전남 무안군
191,전남 보성군
192,전남 순천시
193,전남 신안군
194,전남 여수시
195,전남 영광군
196,전남 영암군
197,전남 완도군
198,전남 장성군
199,전남 장흥군
200,전남 진도군
201,전남 함평군
202,전남 해남군
203,전남 화순군
204,전북 고창군
205,전북 군산시
206,전북 김제시
207,전북 남원시
208,전북 무주군
209,전북 부안군
210,전북 순창군
211,전북 완주군
212,전북 익산시
213,전북 임실군
214,전북 장수군
215,전북 전주시 덕진구
216,전북 전주시 완산구
217,전북 정읍시
218,전북 진안군
219,제주 서귀포시
220,제주 제주시
221,충남 계룡시
222,충남 공주시
223,충남 금산군
224,충남 논산시
225,충남 당진시
226,충남 보령시
227,충남 부여군
228,충남 서산시
229,충남 서천군
230,충남 아산시
231,충남 예산군
232,충남 천안시 동남구
233,충남 천안시 서북구
234,충남 청양군
235,충남 태안군
236,충남 홍성군
237,충북 괴산군
238,충북 단양군
239,충북 보은군
240,충북 영동군
241,충북 옥천군
242,충북 음성군
243,충북 제천시
244,충북 증평군
245,충북 진천군
246,충북 청주시 상당구
247,충북 청주시 서원구
248,충북 청주시 청원구
249,충북 청주시 흥덕구
250,충북 충주시
